[2020-12-21 14:56:08.884] [Logger] [info] Visit Function Decl: try_variable_definition
[2020-12-21 14:56:08.889] [Logger] [info] Visit Function Decl: count_implicit_rule_limits
[2020-12-21 14:56:08.894] [Logger] [info] Visit Function Decl: convert_to_pattern
[2020-12-21 14:56:08.899] [Logger] [info] Visit Function Decl: getopt_long
[2020-12-21 14:56:08.904] [Logger] [info] Visit Function Decl: remote_setup
[2020-12-21 14:56:08.909] [Logger] [info] Visit Function Decl: remote_cleanup
[2020-12-21 14:56:08.914] [Logger] [info] Visit Function Decl: print_variable_data_base
[2020-12-21 14:56:08.919] [Logger] [info] Visit Function Decl: print_rule_data_base
[2020-12-21 14:56:08.924] [Logger] [info] Visit Function Decl: print_vpath_data_base
[2020-12-21 14:56:08.929] [Logger] [info] Visit Function Decl: print_data_base
[2020-12-21 14:56:08.942] [Logger] [info] Visit Function Decl: print_version
[2020-12-21 14:56:08.949] [Logger] [info] Visit Function Decl: decode_switches
[2020-12-21 14:56:08.955] [Logger] [info] Visit Function Decl: decode_env_switches
[2020-12-21 14:56:08.961] [Logger] [info] Visit Function Decl: define_makeflags
[2020-12-21 14:56:08.966] [Logger] [info] Visit Function Decl: quote_for_env
[2020-12-21 14:56:09.238] [Logger] [info] Visit Function Decl: enter_command_line_file
[2020-12-21 14:56:09.330] [Logger] [info] Visit Function Decl: debug_signal_handler
[2020-12-21 14:56:09.341] [Logger] [info] Visit Function Decl: decode_debug_flags
[2020-12-21 14:56:09.367] [Logger] [info] Visit Function Decl: open_tmpfile
[2020-12-21 14:56:09.373] [Logger] [info] Visit Function Decl: main
[2020-12-21 14:56:09.512] [Logger] [info] Visit Function Decl: main
[2020-12-21 14:56:09.550] [Logger] [info] Visit Function Decl: init_switches
[2020-12-21 14:56:09.567] [Logger] [info] Visit Function Decl: handle_non_switch_argument
[2020-12-21 14:56:09.595] [Logger] [info] Visit Function Decl: print_usage
[2020-12-21 14:56:09.623] [Logger] [info] Visit Function Decl: decode_switches
[2020-12-21 14:56:09.641] [Logger] [info] Visit Function Decl: decode_env_switches
[2020-12-21 14:56:09.651] [Logger] [info] Visit Function Decl: quote_for_env
[2020-12-21 14:56:09.729] [Logger] [info] Visit Function Decl: define_makeflags
[2020-12-21 14:56:09.753] [Logger] [info] Visit Function Decl: print_version
[2020-12-21 14:56:09.804] [Logger] [info] Visit Function Decl: print_data_base
[2020-12-21 14:56:09.817] [Logger] [info] Visit Function Decl: die
[2020-12-21 14:56:09.852] [Logger] [info] Visit Function Decl: die
[2020-12-21 14:56:09.871] [Logger] [info] Visit Function Decl: log_working_directory
[2020-12-21 14:56:09.878] [Logger] [info] Visit Function Decl: _IO_putc
[2020-12-21 14:56:09.895] [Logger] [info] Visit Function Decl: vfprintf
[2020-12-21 14:56:09.903] [Logger] [info] Visit Function Decl: getuid
[2020-12-21 14:56:09.912] [Logger] [info] Visit Function Decl: geteuid
[2020-12-21 14:56:09.918] [Logger] [info] Visit Function Decl: getgid
[2020-12-21 14:56:09.924] [Logger] [info] Visit Function Decl: getegid
[2020-12-21 14:56:09.931] [Logger] [info] Visit Function Decl: setuid
[2020-12-21 14:56:09.937] [Logger] [info] Visit Function Decl: seteuid
[2020-12-21 14:56:09.944] [Logger] [info] Visit Function Decl: setgid
[2020-12-21 14:56:09.950] [Logger] [info] Visit Function Decl: setegid
[2020-12-21 14:56:09.957] [Logger] [info] Visit Function Decl: malloc
[2020-12-21 14:56:09.963] [Logger] [info] Visit Function Decl: realloc
[2020-12-21 14:56:09.970] [Logger] [info] Visit Function Decl: strdup
[2020-12-21 14:56:09.981] [Logger] [info] Visit Function Decl: strerror
[2020-12-21 14:56:10.002] [Logger] [info] Visit Function Decl: collapse_continuations
[2020-12-21 14:56:10.022] [Logger] [info] Visit Function Decl: remove_comments
[2020-12-21 14:56:10.031] [Logger] [info] Visit Function Decl: find_char_unquote
[2020-12-21 14:56:10.039] [Logger] [info] Visit Function Decl: copy_dep_chain
[2020-12-21 14:56:10.049] [Logger] [info] Visit Function Decl: alpha_compare
[2020-12-21 14:56:10.068] [Logger] [info] Visit Function Decl: collapse_continuations
[2020-12-21 14:56:10.076] [Logger] [info] Visit Function Decl: remove_comments
[2020-12-21 14:56:10.084] [Logger] [info] Visit Function Decl: print_spaces
